timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1637009079058,1548,HTTP Request,200,OK,jmeter-getting 1-18,text,true,,104822,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,212,0,151
1637009079058,212,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-18,text,true,,727,126,4,4,https://www.google.com/classroom,212,0,151
1637009079272,930,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-18,text,true,,1917,123,4,4,https://classroom.google.com/,930,0,154
1637009080203,403,HTTP Request-2,200,OK,jmeter-getting 1-18,text,true,,102178,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,242,0,148
1637009079555,1760,HTTP Request,200,OK,jmeter-getting 1-19,text,true,,105815,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,222,0,160
1637009079555,222,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-19,text,true,,727,126,4,4,https://www.google.com/classroom,222,0,160
1637009079778,1139,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-19,text,true,,1917,123,4,4,https://classroom.google.com/,1139,0,154
1637009080918,397,HTTP Request-2,200,OK,jmeter-getting 1-19,text,true,,103171,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,228,0,132
1637009080050,1559,HTTP Request,200,OK,jmeter-getting 1-20,text,true,,105805,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,202,0,142
1637009080050,202,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-20,text,true,,727,126,4,4,https://www.google.com/classroom,202,0,142
1637009080254,934,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-20,text,true,,1917,123,4,4,https://classroom.google.com/,934,0,153
1637009081190,419,HTTP Request-2,200,OK,jmeter-getting 1-20,text,true,,103161,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,254,0,157
1637009080549,1737,HTTP Request,200,OK,jmeter-getting 1-21,text,true,,104980,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,199,0,139
1637009080549,199,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-21,text,true,,727,126,4,4,https://www.google.com/classroom,199,0,139
1637009080749,1150,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-21,text,true,,1917,123,4,4,https://classroom.google.com/,1150,0,150
1637009081901,385,HTTP Request-2,200,OK,jmeter-getting 1-21,text,true,,102336,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,236,0,141
1637009081048,1524,HTTP Request,200,OK,jmeter-getting 1-22,text,true,,105777,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,207,0,143
1637009081048,207,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-22,text,true,,727,126,4,4,https://www.google.com/classroom,207,0,143
1637009081257,928,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-22,text,true,,1917,123,4,4,https://classroom.google.com/,928,0,153
